DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:12:02 GMT+0530 (India Standard Time),72484,203617,78831,12938,10887,12836,6930,2682,17,81
Wed Dec 12 2018 18:12:04 GMT+0530 (India Standard Time),55907,37118,12888,25136,10086,31811,4211,2734,38,51
Wed Dec 12 2018 18:12:05 GMT+0530 (India Standard Time),122643,8696,5866,8111,6292,6161,4222,894,57,51
Wed Dec 12 2018 18:12:06 GMT+0530 (India Standard Time),56164,50937,26986,3466,6942,13106,9486,3512,75,51
Wed Dec 12 2018 18:12:07 GMT+0530 (India Standard Time),194310,33195,45524,3719,3495,2453,2055,1811,70,74
Wed Dec 12 2018 18:12:08 GMT+0530 (India Standard Time),21920,29374,36394,63313,19051,18433,5032,5307,57,87
Wed Dec 12 2018 18:12:09 GMT+0530 (India Standard Time),57801,64220,10586,14257,8786,8377,5533,2578,47,78
Wed Dec 12 2018 18:12:10 GMT+0530 (India Standard Time),151278,43809,12253,4527,25878,26812,15882,3137,60,67
Wed Dec 12 2018 18:12:11 GMT+0530 (India Standard Time),102874,8746,1849,6973,2259,1399,1551,1063,69,61
Wed Dec 12 2018 18:12:12 GMT+0530 (India Standard Time),27343,18712,36695,6447,15413,23545,7830,2323,81,53
Wed Dec 12 2018 18:12:15 GMT+0530 (India Standard Time),8655,52198,1919,7993,6996,5406,3441,3008,80,64
Wed Dec 12 2018 18:12:16 GMT+0530 (India Standard Time),29040,21990,537,11435,8313,10654,12033,1922,78,53
Wed Dec 12 2018 18:12:17 GMT+0530 (India Standard Time),4904,5299,6930,9394,3923,11094,5489,3511,81,44
Wed Dec 12 2018 18:12:18 GMT+0530 (India Standard Time),8698,37379,818,10835,15746,3266,7109,3018,77,37
Wed Dec 12 2018 18:12:19 GMT+0530 (India Standard Time),154243,24520,2438,2917,3655,1938,868,640,74,38
Wed Dec 12 2018 18:12:20 GMT+0530 (India Standard Time),14865,38998,26536,5925,7200,6818,3227,1797,60,48
Wed Dec 12 2018 18:12:21 GMT+0530 (India Standard Time),17987,12572,4867,4697,12914,6813,1840,1013,54,35
Wed Dec 12 2018 18:12:24 GMT+0530 (India Standard Time),60790,47093,19452,11302,18048,6389,3303,1439,78,60
Wed Dec 12 2018 18:12:25 GMT+0530 (India Standard Time),40151,22477,8892,9779,16516,7041,2442,2148,69,63
Wed Dec 12 2018 18:12:26 GMT+0530 (India Standard Time),29637,67416,14886,21332,20597,13182,4405,4258,56,61
Wed Dec 12 2018 18:12:27 GMT+0530 (India Standard Time),24043,79047,32764,15398,8196,7193,3010,1255,50,53
Wed Dec 12 2018 18:12:29 GMT+0530 (India Standard Time),29688,13731,9859,17715,6188,7462,3094,1907,63,64
Wed Dec 12 2018 18:12:30 GMT+0530 (India Standard Time),95578,8709,3266,1430,951,1613,454,676,63,66
Wed Dec 12 2018 18:12:31 GMT+0530 (India Standard Time),48580,32856,9846,23068,18570,12779,7906,2112,77,67
Wed Dec 12 2018 18:12:32 GMT+0530 (India Standard Time),131940,44736,11447,12819,15066,13803,4402,3480,74,63
Wed Dec 12 2018 18:12:34 GMT+0530 (India Standard Time),43812,11443,61223,18181,20740,6473,8409,1289,56,74
Wed Dec 12 2018 18:12:35 GMT+0530 (India Standard Time),30236,13367,30831,26886,15742,8102,6497,5034,51,87
Wed Dec 12 2018 18:12:36 GMT+0530 (India Standard Time),781555,190517,2849,18646,15505,10968,35830,9210,35,70
Wed Dec 12 2018 18:12:37 GMT+0530 (India Standard Time),287363,26311,27368,25556,13563,34277,12552,2065,57,75
Wed Dec 12 2018 18:12:38 GMT+0530 (India Standard Time),278814,102000,54198,6395,22370,12947,7617,4192,60,56
Wed Dec 12 2018 18:12:39 GMT+0530 (India Standard Time),138889,120315,20360,23131,18434,8632,5110,6333,51,37
Wed Dec 12 2018 18:12:42 GMT+0530 (India Standard Time),418350,14549,1663,6358,7541,1918,748,545,35,50
Wed Dec 12 2018 18:12:43 GMT+0530 (India Standard Time),43811,31882,4375,2128,4691,1325,544,386,29,43
Wed Dec 12 2018 18:12:44 GMT+0530 (India Standard Time),55112,18243,51487,4672,5921,4849,2373,2116,26,60
Wed Dec 12 2018 18:12:45 GMT+0530 (India Standard Time),84698,36454,42350,7086,12947,8143,3341,1529,29,64
Wed Dec 12 2018 18:12:47 GMT+0530 (India Standard Time),21477,16566,1934,3203,599,1256,490,696,27,67
Wed Dec 12 2018 18:12:48 GMT+0530 (India Standard Time),68907,52084,11876,10862,3555,5265,1732,762,29,48
Wed Dec 12 2018 18:12:49 GMT+0530 (India Standard Time),171114,139700,10378,44334,11555,11507,3472,1115,23,38
Wed Dec 12 2018 18:12:50 GMT+0530 (India Standard Time),119703,12151,7728,6622,3174,1252,859,379,24,53
Wed Dec 12 2018 18:12:51 GMT+0530 (India Standard Time),137448,67877,14695,26547,5917,4567,2291,1062,21,61
Wed Dec 12 2018 18:12:52 GMT+0530 (India Standard Time),21499,13222,9034,12876,1936,2502,1305,2524,21,75
Wed Dec 12 2018 18:12:53 GMT+0530 (India Standard Time),59296,24412,9993,6409,8199,3746,1190,2534,26,78
Wed Dec 12 2018 18:12:54 GMT+0530 (India Standard Time),60422,57635,24649,7459,6106,4919,4144,1422,27,70
Wed Dec 12 2018 18:12:55 GMT+0530 (India Standard Time),109528,90012,72018,31101,5825,9222,4330,1373,30,78
Wed Dec 12 2018 18:12:56 GMT+0530 (India Standard Time),150117,63794,16262,39270,16508,5414,2053,968,26,70
Wed Dec 12 2018 18:12:57 GMT+0530 (India Standard Time),25070,45837,15607,9191,8938,8097,2791,1360,27,67
Wed Dec 12 2018 18:12:58 GMT+0530 (India Standard Time),21168,11507,2417,6338,10835,3070,2076,1026,40,64
Wed Dec 12 2018 18:12:59 GMT+0530 (India Standard Time),5122,16541,6634,22633,7091,4450,2868,2820,47,66
Wed Dec 12 2018 18:13:00 GMT+0530 (India Standard Time),78288,119887,25279,6609,9694,6612,3321,2406,47,54
Wed Dec 12 2018 18:13:01 GMT+0530 (India Standard Time),12532,83463,20361,14921,8402,3511,3008,2119,29,54
Wed Dec 12 2018 18:13:04 GMT+0530 (India Standard Time),21075,5497,29727,11474,6450,7173,3436,1522,41,90
